date,pooled_c,pooled_t,laci_c,laci_t,labo_c,labo_t,lano_c,lano_t,epfu_c,epfu_t,mylu_c,mylu_t,pesu_c,pesu_t
7/15/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/16/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7/19/2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7/20/2015,3,0,0,0,1,0,0,0,0,0,2,0,0,0
7/21/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/22/2015,2,0,1,0,0,0,0,0,1,0,0,0,0,0
7/23/2015,3,1,1,1,0,0,1,1,0,0,1,0,0,0
7/24/2015,2,0,1,0,1,0,0,0,0,0,0,0,0,0
7/25/2015,2,0,1,0,0,0,0,0,0,0,0,0,1,0
7/26/2015,4,1,1,1,0,0,1,0,1,0,1,0,0,0
7/27/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7/29/2015,2,0,1,0,0,0,0,0,1,0,0,0,0,0
7/30/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/1/2015,2,0,1,0,1,0,0,0,0,0,0,0,0,0
8/2/2015,3,2,2,1,0,0,0,0,0,1,1,0,0,0
8/3/2015,4,0,1,0,0,0,0,0,2,0,1,0,0,0
8/4/2015,2,0,0,0,1,0,0,0,1,0,0,0,0,0
8/5/2015,6,0,1,0,1,0,1,0,1,0,2,0,0,0
8/6/2015,6,2,0,0,2,0,2,0,0,2,2,0,0,0
8/7/2015,3,0,1,0,0,0,0,0,1,0,1,0,0,0
8/8/2015,1,1,0,0,0,0,0,0,1,1,0,0,0,0
8/9/2015,2,0,0,0,0,0,0,0,0,0,2,0,0,0
8/10/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/11/2015,2,0,0,0,2,0,0,0,0,0,0,0,0,0
8/12/2015,6,0,0,0,0,0,3,0,0,0,3,0,0,0
8/13/2015,6,2,2,1,2,0,1,0,1,0,0,1,0,0
8/14/2015,1,1,0,0,0,0,0,0,0,1,1,0,0,0
8/15/2015,7,1,0,1,1,0,4,0,2,0,0,0,0,0
8/16/2015,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8/17/2015,2,0,0,0,1,0,0,0,1,0,0,0,0,0
8/18/2015,4,0,1,0,1,0,2,0,0,0,0,0,0,0
8/19/2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8/20/2015,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8/21/2015,9,1,5,0,2,1,0,0,2,0,0,0,0,0
8/22/2015,1,4,0,2,1,1,0,0,0,0,0,1,0,0
8/23/2015,3,0,1,0,2,0,0,0,0,0,0,0,0,0
8/24/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/25/2015,4,2,1,0,0,1,1,0,1,0,1,1,0,0
8/26/2015,14,1,4,1,4,0,5,0,0,0,1,0,0,0
8/27/2015,3,0,2,0,1,0,0,0,0,0,0,0,0,0
8/28/2015,6,0,1,0,0,0,2,0,0,0,3,0,0,0
8/29/2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8/30/2015,2,0,0,0,0,0,1,0,0,0,1,0,0,0
8/31/2015,5,0,1,0,0,0,2,0,1,0,1,0,0,0
9/1/2015,6,0,1,0,3,0,1,0,1,0,0,0,0,0
9/2/2015,3,0,1,0,1,0,0,0,1,0,0,0,0,0
9/3/2015,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9/4/2015,6,0,2,0,0,0,1,0,1,0,2,0,0,0
9/5/2015,4,0,2,0,1,0,0,0,1,0,0,0,0,0
9/6/2015,2,1,0,1,2,0,0,0,0,0,0,0,0,0
9/7/2015,4,0,3,0,0,0,0,0,0,0,1,0,0,0
9/8/2015,3,0,3,0,0,0,0,0,0,0,0,0,0,0
9/9/2015,6,0,2,0,0,0,2,0,2,0,0,0,0,0
9/10/2015,3,0,0,0,0,0,1,0,0,0,2,0,0,0
9/11/2015,4,0,0,0,2,0,1,0,1,0,0,0,0,0
9/12/2015,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9/13/2015,4,0,1,0,0,0,3,0,0,0,0,0,0,0
9/14/2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9/15/2015,2,1,0,0,2,0,1,0,0,0,0,0,0,0
9/16/2015,4,0,0,0,0,0,3,0,1,0,0,0,0,0
9/17/2015,3,1,0,0,1,0,3,0,0,0,0,0,0,0
9/18/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/2015,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9/20/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/2015,2,0,0,0,1,0,0,0,0,0,0,0,0,0
9/23/2015,2,1,0,0,2,0,0,0,0,0,0,0,0,0
9/24/2015,1,2,0,0,0,2,0,0,0,0,0,0,0,0
9/25/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9/27/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,189,31,48,11,39,6,44,1,27,7,29,3,1,0
